,subj,sex,age,language,english,french,date,native_lang,block,trial,stim,pitch,stretch,reponse,rt,segment_time,stim_order,param_index
75,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,18,sounds\french\audio/french_102.wav,-7.4892707,1.70363197,0,0.541,0.25666667,,
76,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,19,sounds\french\audio/french_13.wav,-32.13252367,0.96861247,0,0.407,0.0,,
77,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,19,sounds\french\audio/french_13.wav,70.64746455,0.7552715,0,0.407,0.1,,
78,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,19,sounds\french\audio/french_13.wav,-67.50971173,1.7097775,0,0.407,0.2,,
79,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,19,sounds\french\audio/french_13.wav,94.74832862,1.62121013,0,0.407,0.25666667,,
80,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,20,sounds\french\audio/french_608.wav,-21.93815625,0.80217517,1,0.606,0.0,,
81,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,20,sounds\french\audio/french_608.wav,68.35071967,1.13802751,1,0.606,0.1,,
82,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,20,sounds\french\audio/french_608.wav,-10.44332041,0.09203458,1,0.606,0.2,,
83,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,20,sounds\french\audio/french_608.wav,-49.43801065,0.18129022,1,0.606,0.25666667,,
84,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,21,sounds\french\audio/french_237.wav,-1.09426196,0.40664609,1,0.553,0.0,,
85,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,21,sounds\french\audio/french_237.wav,-48.49856075,0.23529618,1,0.553,0.1,,
86,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,21,sounds\french\audio/french_237.wav,36.42993093,0.05363011,1,0.553,0.2,,
87,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,21,sounds\french\audio/french_237.wav,-47.65767162,1.34950367,1,0.553,0.25666667,,
88,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,22,sounds\french\audio/french_935.wav,-44.99349069,1.17032266,0,0.284,0.0,,
89,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,22,sounds\french\audio/french_935.wav,-36.99771552,1.41237049,0,0.284,0.1,,
90,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,22,sounds\french\audio/french_935.wav,73.94933819,0.72245199,0,0.284,0.2,,
91,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,22,sounds\french\audio/french_935.wav,99.03349287,1.64210213,0,0.284,0.25666667,,
92,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,23,sounds\french\audio/french_337.wav,-97.64468947,0.15620351,0,0.375,0.0,,
93,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,23,sounds\french\audio/french_337.wav,-70.83087303,1.65716961,0,0.375,0.1,,
94,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,23,sounds\french\audio/french_337.wav,-48.67995381,0.82507575,0,0.375,0.2,,
95,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,23,sounds\french\audio/french_337.wav,-82.84031791,0.89595203,0,0.375,0.25666667,,
96,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,24,sounds\french\audio/french_1.wav,91.87409443,0.51984737,1,0.414,0.0,,
97,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,24,sounds\french\audio/french_1.wav,-48.89112434,0.07214845,1,0.414,0.1,,
98,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,24,sounds\french\audio/french_1.wav,27.67932603,1.75660136,1,0.414,0.2,,
99,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,24,sounds\french\audio/french_1.wav,13.64945055,0.58315139,1,0.414,0.25666667,,
