subj,trial,block,date,stim,stim_order,response,rt,age,french,english,language,sex,param_index,segment,pitch,stretch
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,6,0.6,92.32758461,1.36679993
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,7,0.7,-57.54469246,0.7012445
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,8,0.8,-77.17429957,1.36817327
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,9,0.9,-5.46434537,0.41680341
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,10,1.0,-18.50514079,0.28529805
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,11,1.1,-7.2649165,1.0076311
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,12,1.14141667,-3.97761041,1.26738641
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,0,0.0,40.60139036,1.33844242
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,1,0.1,-15.15147128,1.76501112
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,2,0.2,-0.95888134,0.94211994
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,3,0.3,44.12601478,0.15427666
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,4,0.4,-57.82031804,1.07164182
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,5,0.5,64.27680708,1.5909132
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,6,0.6,-63.61731308,1.21963001
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,7,0.7,77.98248538,0.17925278
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,8,0.8,-85.02373468,1.54369257
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,9,0.9,23.7771992,1.35763688
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,10,1.0,61.80066761,1.46111522
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,11,1.1,-41.94387,0.95375882
60eb21bd3807b3a1810ea180,5,0,2024-02-27T11:17:09.361Z,french_569.wav,0,pull,32573,20,5,4,francias,f,12,1.14141667,60.59433976,0.23927558
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,0,0.0,-14.63575946,1.48016251
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,1,0.1,87.90447506,1.99171813
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,2,0.2,16.67284582,0.37897864
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,3,0.3,66.15245768,1.28017908
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,4,0.4,-20.15560471,0.5887237
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,5,0.5,-60.0326813,1.90797715
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,6,0.6,31.72800587,0.19529448
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,7,0.7,-60.07829106,1.64301184
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,8,0.8,15.50516257,1.80534623
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,9,0.9,-42.6229878,0.7062957
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,10,1.0,78.15416518,1.55899311
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,11,1.1,46.83392995,1.39425951
60eb21bd3807b3a1810ea180,6,0,2024-02-27T11:17:09.361Z,french_649.wav,0,poule,548,20,5,4,francias,f,12,1.14141667,39.79631616,1.94277347
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,0,0.0,87.77909642,0.96730071
